[2022-12-21 09:13:22.690 +05:30  INF]  Route matched with {action = "GetAll", controller = "Employee"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetAll() on controller Database.Controllers.EmployeeController (Employee).
[2022-12-21 09:13:22.805 +05:30  INF]  Executing JsonResult, writing value of type 'System.Collections.Generic.List`1[[Database.Models.Employee, Database, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
[2022-12-21 09:13:22.805 +05:30  INF]  Executed action Database.Controllers.EmployeeController.GetAll (Employee) in 115.0088ms
[2022-12-21 09:13:22.805 +05:30  INF]  Executed endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:22.805 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll - - - 200 - application/json;+charset=utf-8 115.4918ms
[2022-12-21 09:13:22.814 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:22.815 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:22.815 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 0.6027ms
[2022-12-21 09:13:23.580 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:23.581 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:23.581 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:23.581 +05:30  INF]  Route matched with {action = "GetAll", controller = "Employee"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetAll() on controller Database.Controllers.EmployeeController (Employee).
[2022-12-21 09:13:23.717 +05:30  INF]  Executing JsonResult, writing value of type 'System.Collections.Generic.List`1[[Database.Models.Employee, Database, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
[2022-12-21 09:13:23.717 +05:30  INF]  Executed action Database.Controllers.EmployeeController.GetAll (Employee) in 136.4053ms
[2022-12-21 09:13:23.717 +05:30  INF]  Executed endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:23.717 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll - - - 200 - application/json;+charset=utf-8 136.9422ms
[2022-12-21 09:13:23.738 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:23.738 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:23.738 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 0.3016ms
[2022-12-21 09:13:24.348 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:24.349 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:24.349 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:24.349 +05:30  INF]  Route matched with {action = "GetAll", controller = "Employee"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetAll() on controller Database.Controllers.EmployeeController (Employee).
[2022-12-21 09:13:24.757 +05:30  INF]  Executing JsonResult, writing value of type 'System.Collections.Generic.List`1[[Database.Models.Employee, Database, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
[2022-12-21 09:13:24.757 +05:30  INF]  Executed action Database.Controllers.EmployeeController.GetAll (Employee) in 408.4727ms
[2022-12-21 09:13:24.757 +05:30  INF]  Executed endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:24.757 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll - - - 200 - application/json;+charset=utf-8 408.9398ms
[2022-12-21 09:13:24.775 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:24.775 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:24.775 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 0.3027ms
